22,0.6827,0.2000,3.7321,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.4639,0.5560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5598,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
23,0.6827,0.2000,3.7321,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.4639,0.5560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5598,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
24,0.6827,0.2000,3.7321,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.4639,0.5560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5598,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
26,0.8012,0.2500,1.9229,0.8324,0.0500,0.5963,0.1861,0.0000,0.0000,0.0000,0.3266,0.0088,0.0125,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0934,0.0000,0.0000,0.0039,1.9863,0.0000,0.0000,0.0020,0.9980,0.0000,0.0000
27,0.7277,0.2500,3.1357,0.7390,0.0148,0.7026,0.0113,0.0102,0.0000,0.0000,0.1535,0.2967,0.3617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0007,2.4141,0.0000,0.0000,0.0003,0.9997,0.0312,0.0138
28,0.7068,0.2500,3.4569,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1031,0.3740,0.4541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5127,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
29,0.7068,0.2500,3.4569,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1031,0.3740,0.4541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5127,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
30,0.7068,0.2500,3.4569,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1031,0.3740,0.4541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5127,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
31,0.7076,0.2500,3.4974,0.7153,0.0008,0.7145,0.0000,0.0000,0.0000,0.0000,0.0981,0.3795,0.4599,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4992,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
33,0.7444,0.3000,1.9229,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.3522,0.0000,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0540,0.0000,0.0000,0.0023,1.9051,0.0000,0.0000,0.0012,0.9988,0.0000,0.0000
34,0.7324,0.3000,3.0738,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2249,0.2509,0.3134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4056,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
35,0.7974,0.3000,3.4776,0.8659,0.0000,0.6296,0.1131,0.1232,0.0000,0.0000,0.3012,0.2749,0.3444,0.0808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5852,0.0000,0.0000,0.0000,1.0000,0.0000,0.1423
36,0.7324,0.3000,3.0737,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2249,0.2509,0.3134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4055,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
37,0.7331,0.3000,3.3142,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1924,0.2837,0.3477,0.0488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3051,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
38,0.7324,0.3000,3.0737,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2249,0.2509,0.3134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4055,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
