k,i,GWP,Theta,Per_Recy,Per_Comp,GHG_ElecInd,GHG_Transport,OCost
124,5,3.083,0.0778,0.05004,0,0.8663,0.058,0.8234
125,5,3.4244,0.2463,0.16002,0.0238,0.962,0.1961,0.9262
126,5,3.7297,0.4084,0.274995,0.0107,1.0348,0.3319,1.029
127,5,3.888,0.4715,0.297765,0.0528,1.1749,0.404,1.1139
128,5,3.888,0.508,0.295515,0.1135,1.3784,0.4668,1.2001
129,5,3.083,0.0778,0.05004,0,0.8663,0.058,0.8234
130,5,3.3801,0.2501,0.16614,0.0024,1.0022,0.2004,0.9262
131,5,3.8038,0.4208,0.281115,0,1.0635,0.3467,1.0289
132,5,4.0469,0.4875,0.29736,0.0735,1.1993,0.4257,1.1317
133,5,4.3048,0.5328,0.29583,0.1341,1.3789,0.5009,1.2345
134,6,2.7777,1.3409,0.297765,0.3383,5.0008,1.9388,3.8342
135,6,2.5118,0.3955,0.297765,0,1.2805,0.3335,1.0625
136,6,2.9585,0,0,0,0.8363,0,0.7842
137,6,2.6374,0.6621,0.28161,0.1978,1.8816,0.5747,1.5048
138,6,2.6374,1.016,0.297675,0.274,2.8495,1.0115,2.233
139,6,2.6374,1.0579,0.297765,0.2838,3.0373,1.0916,2.3714
140,6,2.6374,0.9665,0.297765,0.2619,2.7155,0.9487,2.127
141,6,2.6807,0.7284,0.297495,0.1842,1.8845,0.607,1.5282
142,6,2.6807,0.9636,0.29097,0.2862,2.8334,0.9888,2.212
143,6,2.6807,1.1691,0.29763,0.3081,3.6406,1.3517,2.8206
144,6,2.6807,1.1704,0.297765,0.3079,3.6433,1.353,2.8228
145,6,2.724,0.6681,0.297675,0.1596,1.8977,0.5932,1.5153
146,6,2.724,0.9729,0.297765,0.2629,2.8512,0.9981,2.2293
147,6,2.724,1.1953,0.297765,0.3126,3.7918,1.4206,2.9376
148,6,2.724,1.2501,0.29709,0.3255,4.2386,1.6086,3.2648
149,6,2.7673,0.7008,0.290835,0.1897,1.8867,0.603,1.5282
150,6,2.7673,0.9217,0.29655,0.2565,2.7363,0.9458,2.1436
151,6,2.7673,1.196,0.297765,0.3127,3.7842,1.4218,2.9374
152,6,2.7673,1.2635,0.297765,0.3264,4.3939,1.6762,3.3815
153,6,2.8106,0.6872,0.297,0.1677,1.867,0.5956,1.5104
154,6,2.8106,0.9482,0.290835,0.2784,2.8989,1.0068,2.2201
155,6,2.8106,1.1698,0.297765,0.3122,3.7902,1.4147,2.9377
156,6,2.8106,1.2828,0.297765,0.3286,4.473,1.7162,3.4474
157,7,2.1106,0.7541,0.297765,0.3383,4.6613,1.9388,3.5724
158,7,2.1106,0.7541,0.297765,0.3383,4.6613,1.9388,3.5724
159,7,2.9585,0,0,0,0.8363,0,0.7842
160,7,2.2161,0.7022,0.277245,0.3839,4.4879,1.8097,3.3938
161,7,2.3647,0.6952,0.297765,0.2667,2.5992,0.9608,2.0427
162,7,2.3647,0.7201,0.29745,0.2969,3.2762,1.2687,2.5401
163,7,2.2488,0.7497,0.29718,0.3348,4.4047,1.8245,3.3938
164,7,2.5134,0.5986,0.297765,0.1674,1.7548,0.5656,1.4223
165,7,2.5134,0.6991,0.297765,0.2692,2.6007,0.9793,2.0635
166,7,2.5134,0.713,0.28845,0.329,3.6072,1.4023,2.7316
167,7,2.5134,0.7156,0.28449,0.3628,4.3282,1.7427,3.3806
168,7,2.662,0.555,0.26721,0.2161,1.8294,0.5596,1.4303
169,7,2.662,0.6496,0.27243,0.3218,2.7389,0.9766,2.0583
170,7,2.662,0.6875,0.297765,0.2783,2.7344,1.0506,2.1715
171,7,2.662,0.7124,0.297765,0.2828,2.7831,1.0863,2.2213
172,7,2.8106,0.6042,0.292725,0.184,1.7641,0.5919,1.466
173,7,2.8106,0.6942,0.297765,0.264,2.5193,0.9659,2.032
174,7,2.8106,0.6639,0.2691,0.3607,3.5467,1.3149,2.6498
175,7,2.2413,0.7508,0.297765,0.3332,4.3613,1.8077,3.3622
176,8,13.5062,0.4739,0.297765,0,3.8623,1.3013,4.2017
177,8,2.1136,0.3246,0.297765,0,0.9779,0.3335,0.6727
178,8,2.3325,0,0,0,0.3606,0,0.1714
179,8,2.2193,0.3408,0.297765,0,1.0582,0.3335,0.7762
180,8,2.2193,0.3408,0.297765,0,1.0582,0.3335,0.7762
181,8,2.2193,0.3408,0.297765,0,1.0582,0.3335,0.7762
182,8,2.2193,0.3366,0.297765,0,1.0881,0.3547,0.7582
183,8,2.3569,0.0067,0.005355,0,0.37,0.0073,0.18
184,8,4.1954,0.4241,0.289485,0,1.1918,0.4097,1.1329
185,8,4.8345,0.4453,0.297405,0.0008,1.3646,0.4669,1.3714
186,8,4.6858,0.4419,0.29583,0.0017,1.3159,0.4487,1.3215
187,8,4.7733,0.425,0.292815,0.0013,1.3905,0.4983,1.2677
188,8,2.357,0.0067,0.005355,0,0.37,0.0073,0.18
189,8,4.2821,0.4183,0.29079,0.0006,1.151,0.4069,1.1324
190,8,7.0085,0.4144,0.28233,0.0141,1.954,0.6188,2.0858
191,8,7.5251,0.4505,0.29745,0.0027,2.4148,0.7728,2.4482
192,8,6.4439,0.4472,0.297765,0.0023,1.8976,0.6619,1.8469
193,8,2.3503,0.0061,0.005265,0.0015,0.3674,0.0061,0.1799
194,8,4.0749,0.4365,0.29727,0,1.1145,0.384,1.1251
195,8,5.4824,0.4359,0.297765,0.003,1.6625,0.5989,1.4853
196,8,4.9295,0.4404,0.2961,0.0001,1.416,0.4919,1.3682
197,8,9.7677,0.4433,0.2853,0.003,2.7541,0.9183,2.9534
198,8,2.3561,0.0066,0.0054,0,0.3696,0.0072,0.18
199,8,4.1973,0.4276,0.297765,0,1.1486,0.4132,1.1168
200,8,6.6383,0.4374,0.28413,0,1.9996,0.6717,1.859
201,8,10.1437,0.4466,0.27963,0.0006,2.9134,0.9293,3.0387
202,8,9.4728,0.4588,0.297135,0.0024,2.7661,0.9482,2.8417
203,9,15.0711,0.621,0,0,5.425596,1.808532,3.4294
204,9,2.7837,0.3955,0.2977543026,0,1.002132,0.334044,1.1203
205,9,10.0834,0.41,0,1,3.630024,1.210008,0.65
206,9,8.9103,0.4132,0,0.958953073,3.207708,1.069236,0.67
207,9,4,0.4546,0,0,1.44,0.48,0.7
208,9,4.1434,0.5081,0,0,1.491624,0.497208,0.7
209,9,7.1535,0.4218,0,0.854317651,2.57526,0.85842,0.7
210,9,4.1374,0.5081,0,0,1.489464,0.496488,0.7
211,9,7.1535,0.4218,0,0.854317651,2.57526,0.85842,0.7
212,9,4,0.4915,0.041492934,0,1.44,0.48,0.8014
213,9,8.5,0.5836,0,0,3.06,1.02,1.8103
214,9,9.2698,0.5904,0,0,3.337128,1.112376,2
215,9,9.2698,0.5904,0,0,3.337128,1.112376,2
216,9,9.2698,0.5904,0,0,3.337128,1.112376,2
217,9,4,0.4915,0.041492934,0,1.44,0.48,0.8014
218,9,8.5,0.5836,0,0,3.06,1.02,1.8103
219,9,10,0.596,0,0,3.6,1.2,2.1799
220,9,10.75,0.6011,0,0,3.87,1.29,2.3647
